1:50 - loss: 0.5925427097082138, acc: 0.75375
1:100 - loss: 0.5057752713561058, acc: 0.78890625
1:150 - loss: 0.4746700386206309, acc: 0.7972916666666666
1:200 - loss: 0.4543403995782137, acc: 0.806796875
1:250 - loss: 0.4390520524978638, acc: 0.8125
1:300 - loss: 0.43220089028278985, acc: 0.8154166666666667
1:350 - loss: 0.4283056141648974, acc: 0.8175446428571429
1:400 - loss: 0.42206544056534767, acc: 0.82
1:450 - loss: 0.4193448283937242, acc: 0.8210763888888889
1:500 - loss: 0.413442114174366, acc: 0.8235625
1:550 - loss: 0.41004385948181155, acc: 0.8245170454545454
1:600 - loss: 0.4070537866652012, acc: 0.825546875
1:650 - loss: 0.40223032304873835, acc: 0.8277644230769231
1:700 - loss: 0.3966388497182301, acc: 0.8299107142857143
1:750 - loss: 0.39416678496201835, acc: 0.8310208333333333
1:800 - loss: 0.39125786509364846, acc: 0.8323046875
1:850 - loss: 0.3881162198501475, acc: 0.8335294117647059
1:900 - loss: 0.38465183802776864, acc: 0.8356597222222222
1:950 - loss: 0.38087562681812986, acc: 0.8373519736842105
1:1000 - loss: 0.37819153964519503, acc: 0.838171875
1:1050 - loss: 0.3756622621984709, acc: 0.8395684523809523
1:1100 - loss: 0.37265482567928054, acc: 0.8409801136363636
1:1150 - loss: 0.36993819230276603, acc: 0.8424048913043478
1:1200 - loss: 0.367762368110319, acc: 0.8433203125
1:1250 - loss: 0.3655060477614403, acc: 0.844425
1:1300 - loss: 0.36419376437480633, acc: 0.8451322115384615
1:1350 - loss: 0.36149662637048297, acc: 0.8464351851851852
1:1400 - loss: 0.3598555645559515, acc: 0.8469642857142857
1:1450 - loss: 0.3577693809106432, acc: 0.8480280172413793
1:1500 - loss: 0.3551085267663002, acc: 0.8493645833333333
1:1550 - loss: 0.3533521136929912, acc: 0.8502620967741935
1:1600 - loss: 0.3508020532783121, acc: 0.85130859375
1:1650 - loss: 0.34903761167417874, acc: 0.8520265151515152
1:1700 - loss: 0.3466651622337453, acc: 0.8532720588235294
1:1750 - loss: 0.34477033981255123, acc: 0.854125
1:1800 - loss: 0.34292100568198497, acc: 0.8548350694444444
1:1850 - loss: 0.34140206028883524, acc: 0.8555489864864865
1:1900 - loss: 0.3392945017744052, acc: 0.8563733552631579
1:1950 - loss: 0.33730001090046685, acc: 0.857363782051282
1:2000 - loss: 0.33505763671174643, acc: 0.8585390625
1:2050 - loss: 0.3332766315522717, acc: 0.8592835365853658
1:2100 - loss: 0.3309833145318996, acc: 0.8604613095238095
1:2150 - loss: 0.3289670101535875, acc: 0.8614316860465117
1:2200 - loss: 0.3278027609701861, acc: 0.861875
1:2250 - loss: 0.32600802187456024, acc: 0.8628402777777778
1:2300 - loss: 0.32465391765794027, acc: 0.8635258152173914
1:2350 - loss: 0.3235555536727956, acc: 0.8640159574468085
1:2400 - loss: 0.32247866825200616, acc: 0.8645442708333333
1:2450 - loss: 0.3213621639749225, acc: 0.8650956632653061
1:2500 - loss: 0.31981749484241007, acc: 0.865825
1:2550 - loss: 0.31826419383579607, acc: 0.8665992647058823
epoch: 1 - train loss: 0.3171714143948447, train acc: 0.8670387472881746
epoch: 1 - test loss: 0.2276619231185437, test acc: 0.9133746614067301
2:50 - loss: 0.24395236223936081, acc: 0.9053125
2:100 - loss: 0.2372259394824505, acc: 0.9084375
2:150 - loss: 0.23773053914308548, acc: 0.9079166666666667
2:200 - loss: 0.2350095283985138, acc: 0.90734375
2:250 - loss: 0.23335729813575745, acc: 0.9079375
2:300 - loss: 0.23237603281935057, acc: 0.9078645833333333
2:350 - loss: 0.22935889139771462, acc: 0.9091071428571429
2:400 - loss: 0.22774702567607163, acc: 0.9097265625
2:450 - loss: 0.2272412780423959, acc: 0.9095833333333333
2:500 - loss: 0.22902293018996717, acc: 0.9088125
2:550 - loss: 0.2295025045221502, acc: 0.9083806818181818
2:600 - loss: 0.2300817157452305, acc: 0.9082291666666666
2:650 - loss: 0.22869084924459457, acc: 0.9087019230769231
2:700 - loss: 0.22825112816478524, acc: 0.909375
2:750 - loss: 0.22721570309996605, acc: 0.910125
2:800 - loss: 0.22535721726715566, acc: 0.911015625
2:850 - loss: 0.22491892897030885, acc: 0.9111948529411765
2:900 - loss: 0.22451581358909606, acc: 0.9114236111111111
2:950 - loss: 0.2248150929102772, acc: 0.9113815789473684
2:1000 - loss: 0.22385082246363164, acc: 0.911796875
2:1050 - loss: 0.22297836273199037, acc: 0.9123511904761905
2:1100 - loss: 0.22219097513366828, acc: 0.912784090909091
2:1150 - loss: 0.22140644542548968, acc: 0.9132744565217391
2:1200 - loss: 0.22133783768862486, acc: 0.9133854166666666
2:1250 - loss: 0.22048749547600746, acc: 0.9136125
2:1300 - loss: 0.22000687031218638, acc: 0.9138822115384615
2:1350 - loss: 0.21986443651495158, acc: 0.9139467592592593
2:1400 - loss: 0.22002986037305422, acc: 0.9138950892857143
2:1450 - loss: 0.21929469263759152, acc: 0.9142887931034482
2:1500 - loss: 0.2187272945890824, acc: 0.9144270833333333
2:1550 - loss: 0.21833302502189914, acc: 0.9144858870967741
2:1600 - loss: 0.21833543507382275, acc: 0.9146484375
2:1650 - loss: 0.21859017610098377, acc: 0.9144981060606061
2:1700 - loss: 0.2182295727247701, acc: 0.9147518382352942
2:1750 - loss: 0.21780702153273993, acc: 0.9149107142857142
2:1800 - loss: 0.2178301140252087, acc: 0.9149913194444445
2:1850 - loss: 0.21779025380675857, acc: 0.9150506756756757
2:1900 - loss: 0.21765052552285946, acc: 0.9150986842105263
2:1950 - loss: 0.21699036187850512, acc: 0.9154807692307693
2:2000 - loss: 0.21704763226956128, acc: 0.9154453125
2:2050 - loss: 0.21672549467624688, acc: 0.9154878048780488
2:2100 - loss: 0.21632882592578728, acc: 0.9157142857142857
2:2150 - loss: 0.21593489547108494, acc: 0.9159011627906977
2:2200 - loss: 0.215519576407969, acc: 0.9161292613636364
2:2250 - loss: 0.2153843133615123, acc: 0.9163125
2:2300 - loss: 0.21552026027894539, acc: 0.9162432065217392
2:2350 - loss: 0.21496682428933203, acc: 0.9165226063829788
2:2400 - loss: 0.21461758417387802, acc: 0.91671875
2:2450 - loss: 0.2139118627747711, acc: 0.9170535714285715
2:2500 - loss: 0.21349293100833894, acc: 0.9172375
2:2550 - loss: 0.21325762888087946, acc: 0.9174448529411765
epoch: 2 - train loss: 0.21324789136256997, train acc: 0.9174453695960441
epoch: 2 - test loss: 0.2642651344478745, test acc: 0.8932863090152162
3:50 - loss: 0.18724067747592926, acc: 0.9325
3:100 - loss: 0.18695137239992618, acc: 0.92875
3:150 - loss: 0.19593407784899075, acc: 0.9248958333333334
3:200 - loss: 0.19245595874264837, acc: 0.926328125
3:250 - loss: 0.19115279181301595, acc: 0.9273125
3:300 - loss: 0.1895569167410334, acc: 0.9266666666666666
3:350 - loss: 0.18923866407147474, acc: 0.92625
3:400 - loss: 0.18960569039918482, acc: 0.9255078125
3:450 - loss: 0.1886522212665942, acc: 0.9261111111111111
3:500 - loss: 0.19032742341235281, acc: 0.925625
3:550 - loss: 0.19107808804308826, acc: 0.9252556818181819
3:600 - loss: 0.1925416752602905, acc: 0.925078125
3:650 - loss: 0.1920889048650861, acc: 0.925264423076923
3:700 - loss: 0.19119292097698365, acc: 0.9258258928571429
3:750 - loss: 0.1905918038909634, acc: 0.9257708333333333
3:800 - loss: 0.19096349818864838, acc: 0.92603515625
3:850 - loss: 0.19124452996122487, acc: 0.9260661764705882
3:900 - loss: 0.19098574452309144, acc: 0.9261111111111111
3:950 - loss: 0.19133310696208164, acc: 0.9258223684210526
3:1000 - loss: 0.19146211770363153, acc: 0.9259375
3:1050 - loss: 0.19052912827935956, acc: 0.9262648809523809
3:1100 - loss: 0.1909558085301383, acc: 0.9262357954545455
3:1150 - loss: 0.19114534737137348, acc: 0.92625
3:1200 - loss: 0.19116407786340764, acc: 0.9261197916666667
3:1250 - loss: 0.19146590358763932, acc: 0.9259875
3:1300 - loss: 0.19087716424837708, acc: 0.9262379807692308
3:1350 - loss: 0.1903136309719196, acc: 0.926412037037037
3:1400 - loss: 0.1902362990392638, acc: 0.92640625
3:1450 - loss: 0.18960003931589167, acc: 0.9267995689655173
3:1500 - loss: 0.18941087112451593, acc: 0.9270520833333333
3:1550 - loss: 0.18920182080638986, acc: 0.9271975806451613
3:1600 - loss: 0.19037316430010834, acc: 0.926806640625
3:1650 - loss: 0.19039782289415597, acc: 0.9268560606060606
3:1700 - loss: 0.189690294464064, acc: 0.9270863970588236
3:1750 - loss: 0.18921372356691532, acc: 0.9272946428571428
3:1800 - loss: 0.18899417073879804, acc: 0.9272309027777778
3:1850 - loss: 0.18879441668153615, acc: 0.9272972972972973
3:1900 - loss: 0.1881901300237759, acc: 0.927639802631579
3:1950 - loss: 0.18764911413670352, acc: 0.9278125
3:2000 - loss: 0.18783305488247423, acc: 0.92771875
3:2050 - loss: 0.18761065586038478, acc: 0.9278125
3:2100 - loss: 0.18757352085784076, acc: 0.9278571428571428
3:2150 - loss: 0.18705639237321395, acc: 0.9281540697674419
3:2200 - loss: 0.1870883092495867, acc: 0.9281960227272728
3:2250 - loss: 0.1862780955442124, acc: 0.9285208333333334
3:2300 - loss: 0.18562419680230643, acc: 0.9287092391304348
3:2350 - loss: 0.18529339949263537, acc: 0.9288829787234043
3:2400 - loss: 0.18529022441323226, acc: 0.9289453125
3:2450 - loss: 0.18474539488021816, acc: 0.9292283163265306
3:2500 - loss: 0.18470756692662835, acc: 0.929425
3:2550 - loss: 0.1843980626710782, acc: 0.9295343137254902
epoch: 3 - train loss: 0.18436843360748584, train acc: 0.9295834393823704
epoch: 3 - test loss: 0.17267354392094295, test acc: 0.9356627338338757
4:50 - loss: 0.16573901824653148, acc: 0.934375
4:100 - loss: 0.16221891053020954, acc: 0.93703125
4:150 - loss: 0.16778580630819004, acc: 0.9352083333333333
4:200 - loss: 0.17579602967947722, acc: 0.933515625
4:250 - loss: 0.1752685986161232, acc: 0.934
4:300 - loss: 0.17402369907746712, acc: 0.9343229166666667
4:350 - loss: 0.1743210392232452, acc: 0.9344196428571429
4:400 - loss: 0.17438303771428765, acc: 0.9348828125
4:450 - loss: 0.17396211105088394, acc: 0.9352083333333333
4:500 - loss: 0.17254838828742505, acc: 0.9350625
4:550 - loss: 0.17148500734432176, acc: 0.9357102272727272
4:600 - loss: 0.17186792503421505, acc: 0.9358854166666667
4:650 - loss: 0.17196699557969203, acc: 0.9360576923076923
4:700 - loss: 0.17155383239367178, acc: 0.9360044642857143
4:750 - loss: 0.17060855616132417, acc: 0.9361875
4:800 - loss: 0.17130781442858278, acc: 0.93611328125
4:850 - loss: 0.17180594726520426, acc: 0.9356801470588235
4:900 - loss: 0.17125031654205586, acc: 0.9360416666666667
4:950 - loss: 0.17077654415055324, acc: 0.9360526315789474
4:1000 - loss: 0.17079838337749242, acc: 0.936046875
4:1050 - loss: 0.17019382141175723, acc: 0.9362797619047619
4:1100 - loss: 0.16977058562365446, acc: 0.9363210227272727
4:1150 - loss: 0.1692976012080908, acc: 0.9364538043478261
4:1200 - loss: 0.16911079285976788, acc: 0.9365885416666667
4:1250 - loss: 0.16845380655229092, acc: 0.936925
4:1300 - loss: 0.16882182432481876, acc: 0.9369471153846154
4:1350 - loss: 0.1690963307712917, acc: 0.9367824074074074
4:1400 - loss: 0.16853072428543653, acc: 0.9370870535714285
4:1450 - loss: 0.1687138832129281, acc: 0.9370581896551724
4:1500 - loss: 0.16817510400464136, acc: 0.9372916666666666
4:1550 - loss: 0.16836477004231945, acc: 0.9371774193548387
4:1600 - loss: 0.1680427495483309, acc: 0.9373046875
4:1650 - loss: 0.16842920979767134, acc: 0.9371306818181818
4:1700 - loss: 0.16808214489370585, acc: 0.9372426470588235
4:1750 - loss: 0.16794863796659878, acc: 0.9372857142857143
4:1800 - loss: 0.1677808127655751, acc: 0.9373350694444444
4:1850 - loss: 0.16737912354437082, acc: 0.9374746621621621
4:1900 - loss: 0.16720504543498943, acc: 0.9375493421052632
4:1950 - loss: 0.16727695854810568, acc: 0.9374679487179487
4:2000 - loss: 0.16678550288826227, acc: 0.9377265625
4:2050 - loss: 0.16703415679858952, acc: 0.9377210365853659
4:2100 - loss: 0.16742013218856994, acc: 0.9374702380952381
4:2150 - loss: 0.166903676638423, acc: 0.9376816860465116
4:2200 - loss: 0.1669903148626062, acc: 0.93765625
4:2250 - loss: 0.16709921566314168, acc: 0.9376180555555556
4:2300 - loss: 0.16703238708331533, acc: 0.9376970108695653
4:2350 - loss: 0.16670821496305313, acc: 0.9377593085106383
4:2400 - loss: 0.166422300809063, acc: 0.9377994791666666
4:2450 - loss: 0.16655228097676014, acc: 0.9377933673469387
4:2500 - loss: 0.16641238841563463, acc: 0.93785
4:2550 - loss: 0.16621706912184464, acc: 0.9379166666666666
epoch: 4 - train loss: 0.16599701397792516, train acc: 0.93802494273352
epoch: 4 - test loss: 0.22426557874014028, test acc: 0.9160106895486029
5:50 - loss: 0.14128805473446845, acc: 0.946875
5:100 - loss: 0.14587297171354294, acc: 0.94546875
5:150 - loss: 0.14608544724682967, acc: 0.9454166666666667
5:200 - loss: 0.1468145813420415, acc: 0.94578125
5:250 - loss: 0.14910246947407724, acc: 0.9445
5:300 - loss: 0.1516438476741314, acc: 0.9434375
5:350 - loss: 0.15085647826748236, acc: 0.94375
5:400 - loss: 0.1500673873256892, acc: 0.9440625
5:450 - loss: 0.1520342248512639, acc: 0.943125
5:500 - loss: 0.15133731873333453, acc: 0.94321875
5:550 - loss: 0.15022571607069535, acc: 0.9435227272727272
5:600 - loss: 0.14963808327913283, acc: 0.9435677083333334
5:650 - loss: 0.14847005170125227, acc: 0.9440144230769231
5:700 - loss: 0.14963456034660338, acc: 0.9434821428571428
5:750 - loss: 0.14937943868835768, acc: 0.943375
5:800 - loss: 0.150253477380611, acc: 0.943203125
5:850 - loss: 0.14891371215091032, acc: 0.9438786764705882
5:900 - loss: 0.1500287123231424, acc: 0.9432291666666667
5:950 - loss: 0.14997056746561277, acc: 0.9433388157894737
5:1000 - loss: 0.15097079188004137, acc: 0.943125
5:1050 - loss: 0.15017225374778112, acc: 0.9436011904761905
5:1100 - loss: 0.15021601922132752, acc: 0.9437215909090909
5:1150 - loss: 0.15015953937626403, acc: 0.9437228260869566
5:1200 - loss: 0.1497752122891446, acc: 0.9439713541666667
5:1250 - loss: 0.14994786945581437, acc: 0.9438125
5:1300 - loss: 0.15002784218639134, acc: 0.9438822115384615
5:1350 - loss: 0.14999544005703044, acc: 0.9440046296296296
5:1400 - loss: 0.15023016463965178, acc: 0.9441294642857143
5:1450 - loss: 0.15020826915728636, acc: 0.9442564655172414
5:1500 - loss: 0.15068905610094468, acc: 0.9440416666666667
5:1550 - loss: 0.15064795930539407, acc: 0.9441431451612903
5:1600 - loss: 0.1509019370516762, acc: 0.9438671875
5:1650 - loss: 0.1509936984244621, acc: 0.943939393939394
5:1700 - loss: 0.1511425661273739, acc: 0.9438143382352941
5:1750 - loss: 0.1509504681548902, acc: 0.9439375
5:1800 - loss: 0.151269507660634, acc: 0.9439409722222222
5:1850 - loss: 0.1516645235709242, acc: 0.9438766891891892
5:1900 - loss: 0.15110165895011865, acc: 0.9441200657894737
5:1950 - loss: 0.15067319779632948, acc: 0.9442387820512821
5:2000 - loss: 0.1504358421675861, acc: 0.9443671875
5:2050 - loss: 0.14990685124767988, acc: 0.9445121951219512
5:2100 - loss: 0.15027178324049428, acc: 0.9444494047619048
5:2150 - loss: 0.15017859563578007, acc: 0.9444912790697675
5:2200 - loss: 0.15025210615924814, acc: 0.9444673295454545
5:2250 - loss: 0.15003022950225406, acc: 0.9445208333333334
5:2300 - loss: 0.15000999108442795, acc: 0.9444972826086957
5:2350 - loss: 0.15004912968011613, acc: 0.9444946808510638
5:2400 - loss: 0.1498603720528384, acc: 0.9445442708333334
5:2450 - loss: 0.14968419248504297, acc: 0.9446045918367347
5:2500 - loss: 0.14967409348636865, acc: 0.94466875
5:2550 - loss: 0.14972697035792995, acc: 0.9445772058823529
epoch: 5 - train loss: 0.1497648636108499, train acc: 0.9445575634173242
epoch: 5 - test loss: 0.14044387922657225, test acc: 0.948461104950279